SUBID,freezing,running,grooming
sub_1,13.367207192674892,4.423683281056583,0.5329245841130614
sub_2,0.7314034935381901,1.7859648214653134,7.1057243924587965
sub_3,5.0011336853667805,5.821624754462391,6.31663215579465
sub_4,2.660629351802293,2.2922667302191257,9.791941868606955
sub_5,9.268580899283734,7.880414419341832,8.775608220603317
sub_6,5.269853962112895,6.558195396792144,5.3903559083119035
sub_7,6.928907373898614,5.091875621583313,9.569921761285514
sub_8,5.15703646473572,0.14780113473534584,2.520787001121789
sub_9,8.738088706154276,8.877051731105894,7.262908495031297
sub_10,12.957582267665751,4.730656147003174,6.405142911244184
