SUBID,freezing,running,grooming
sub_1,4.609316997481312,6.384971956722438,4.299373808316886
sub_2,4.733263911715028,4.73377856425941,5.910790252964944
sub_3,2.3780904874262,2.1635573636740446,4.973561244551092
sub_4,9.221559247031106,6.474975314922631,0.6344710476696491
sub_5,2.4678757655644015,8.204897358082235,3.1264220853336155
sub_6,7.201573567211172,9.0271425829269,2.201193410437554
sub_7,3.83107415200304,3.9588417881168425,2.333705984055996
sub_8,5.396147498426876,6.915389003697783,1.6218865057453513
sub_9,1.4107097854348967,9.99414820689708,3.1490033864974976
sub_10,1.7221880709525161,5.311663779430091,7.739234836772084
